Suriname	hasOfficialLanguage	Dutch_language
Tom_Webb	hasGender	male
Nélio_da_Silva_Melo	playsFor	Clube_de_Regatas_do_Flamengo
Chingmy_Yau	actedIn	Future_Cops
Adnan_Erkan	playsFor	Torku_Konyaspor
Moussa_Saïb	playsFor	JSM_Tiaret
Alexandru_Curtianu	playsFor	FC_Zimbru_Chișinău
Xavier_Margairaz	isAffiliatedTo	Switzerland_national_football_team
Sergei_Salnikov	diedIn	Moscow
Nalo_Hopkinson	wasBornIn	Kingston,_Jamaica
Krk	isLocatedIn	Croatia
Péter_Máté_(footballer)	isAffiliatedTo	Reading_F.C.
Lindsay_Lohan	hasWonPrize	Young_Artist_Award
Jim_Carrey	actedIn	Eternal_Sunshine_of_the_Spotless_Mind
Mykhaylo_Forkash	playsFor	FC_Zorya_Luhansk
Darius_Henderson	playsFor	Sheffield_United_F.C.
Nikolay_Pavlov_(footballer)	isAffiliatedTo	PSFC_Chernomorets_Burgas
Gerhard_Strack	playsFor	Germany_national_football_team
Kenneth_Gustafsson_(footballer_born_1982)	hasGender	male
Katherine,_Northern_Territory	isLocatedIn	Western_Australia
Belgium	participatedIn	Battle_of_France
Pedro_Waldemar_Manfredini	isAffiliatedTo	Racing_Club_de_Avellaneda
Paul_Benson	playsFor	England_national_football_C_team
Martin_Stranzl	playsFor	FC_Spartak_Moscow
Benjamin_Netanyahu	isAffiliatedTo	Likud
Clemens_Walch	wasBornIn	Rum,_Tyrol
Andy_Lindegaard	isAffiliatedTo	Cheltenham_Town_F.C.
Fethiye	isLocatedIn	Aegean_Turkey
William_H._Macy	actedIn	Wild_Hogs
Shingo_Suzuki	isAffiliatedTo	Giravanz_Kitakyushu
Alan_O'Neill_(footballer_born_1957)	playsFor	Shamrock_Rovers_F.C.
Alex_Haley	graduatedFrom	Alcorn_State_University
Joseph_Keller	worksAt	New_York_University
Gwak_Kyung-keun	isAffiliatedTo	South_Korea_national_football_team
Jean_Michel_Jarre	isMarriedTo	Charlotte_Rampling
Alejandro_Bedoya	playsFor	United_States_men's_national_soccer_team
Ruben_Pereira	isAffiliatedTo	Peñarol
Brian_Statham_(footballer)	playsFor	A.F.C._Bournemouth
Krzysztof_Kotorowski	isAffiliatedTo	Lech_Poznań
Scott_Joplin	hasGender	male
Jovino_Soares_Viana_Júnior	playsFor	América_Futebol_Clube_(RN)
High1	isLocatedIn	Chuncheon
Michael_Tarnat	playsFor	FC_Bayern_Munich
Adrian_Serioux	playsFor	University_of_New_Haven
Serhiy_Turiansky	isAffiliatedTo	FC_Nyva_Ternopil
Carlo_Annovazzi	isAffiliatedTo	Italy_national_football_team
Samed_Abdul_Awudu	playsFor	Hapoel_Ironi_Acre_F.C.
Gmina_Siedlisko	isLocatedIn	Lubusz_Voivodeship
Lazăr_Sfera	hasGender	male
Frank_Lloyd	directed	Children_of_Divorce_(1927_film)
Trevor_Cilia	hasGender	male
Zlatan_Azinović	playsFor	Malmö_FF
Chris_Corchiani	isAffiliatedTo	Continental_Basketball_Association
Andy_Dick	actedIn	Bongwater_(film)
Vincent_Gallo	directed	Buffalo_'66
Voćin	isLocatedIn	Virovitica-Podravina_County
Wisdom_Fofo_Agbo	isAffiliatedTo	Hong_Kong_national_football_team
Darryl_Knights	isAffiliatedTo	Newport_County_A.F.C.
Elias_Vattis	playsFor	Alki_Larnaca_F.C.
William_Frawley	actedIn	Double_or_Nothing_(1937_film)
Dmytro_Tyapushkin	playsFor	FC_Spartak_Moscow
A._J._Wood	playsFor	United_States_men's_national_under-23_soccer_team
Rhys_Wilmot	playsFor	Hereford_United_F.C.
Leonardo_Augusto_Vieira_Moreira	isAffiliatedTo	Tochigi_SC
Henri_Matisse	influences	Mary_Fedden
Adam_Newton	isAffiliatedTo	Luton_Town_F.C.
Feridun_Sungur	playsFor	Akçaabat_Sebatspor
Dennis_Malura	playsFor	Kickers_Offenbach
Damion_Stewart	hasGender	male
Aleksandr_Bubnov	playsFor	FC_Spartak_Moscow
John_D._Bulkeley	hasWonPrize	Distinguished_Service_Medal
Zdravko_Radulović	isAffiliatedTo	Aris_B.C.
Marquem_Gonçalves_Ferreira	playsFor	Liga_Muçulmana_de_Maputo
John_Conway_(footballer)	playsFor	FC_Winterthur
Pittsburgh_Steelers	isLocatedIn	Pennsylvania
Francileudo_Santos	hasGender	male
Ken_Johnson_(basketball)	isAffiliatedTo	Telekom_Baskets_Bonn
How_High_Is_Up?	isLocatedIn	United_States
Leighton_W._Smith,_Jr.	hasWonPrize	Achievement_Medal
Ogden_Phipps	diedIn	West_Palm_Beach,_Florida
Qays_Shayesteh	isAffiliatedTo	FC_Twente
Greensboro_Generals	isLocatedIn	North_Carolina
Lisa_Fruchtman	edited	The_Woodsman
Jerónimo_Barrales	playsFor	Unión_de_Santa_Fe
Hughie_Ferguson	isAffiliatedTo	Motherwell_F.C.
Martin_Rees,_Baron_Rees_of_Ludlow	hasWonPrize	Albert_Einstein_World_Award_of_Science
Syracuse,_Sicily	participatedIn	Second_Punic_War
Hjalte_Nørregaard	isAffiliatedTo	Aarhus_Gymnastikforening
Liam_Coyle	wasBornIn	Derry
Victor_Moses	isAffiliatedTo	Crystal_Palace_F.C.
Ronald_Stein	wroteMusicFor	The_Terror_(1963_film)
Robert_Ssejjemba	playsFor	Kalamazoo_Kingdom
Almir_Tolja	playsFor	Saba_Qom_F.C.
Prince_Henry_of_Prussia_(1862–1929)	hasWonPrize	House_Order_of_the_Wendish_Crown
Tustin,_California	isLocatedIn	California
East_Greenwich,_Rhode_Island	isLocatedIn	United_States
David_Gemmell	isCitizenOf	England
August_Schellenberg	actedIn	Going_the_Distance_(2004_film)
Khwarazmian_dynasty	hasCapital	Tabriz
Reg_Matthewson	isAffiliatedTo	Chester_City_F.C.
Alexander_Ring	hasGender	male
Kathy_Najimy	actedIn	Sister_Act
Robert_Zemeckis	directed	Forrest_Gump
Jakob_Böhme	hasGender	male
Hajjiabad_County	isLocatedIn	Iran
Seo_Dong-hyeon	isAffiliatedTo	Jeju_United_FC
David_Benioff	isMarriedTo	Amanda_Peet
Scott_Bannerman	isAffiliatedTo	Raith_Rovers_F.C.
Jack_Newnes	hasGender	male
Hex_(film)	isLocatedIn	United_States
Sarah_McLachlan	wasBornIn	Halifax,_Nova_Scotia
Nicolás_Bertolo	playsFor	Boca_Juniors
Johnny_Szlykowicz	isAffiliatedTo	Pau_FC
James_Cromwell	livesIn	Studio_City,_Los_Angeles
Aleksei_Yuryevich_German	diedIn	Saint_Petersburg
Chris_Norman_(American_football)	playsFor	FC_Akzhayik
George_Scratchley_Brown	diedIn	Bethesda
Shane_Battelle	isAffiliatedTo	United_States_men's_national_under-20_soccer_team
Kristina_Šundov	isAffiliatedTo	Croatia_women's_national_football_team
Charles_Spencer-Churchill,_9th_Duke_of_Marlborough	isAffiliatedTo	Conservative_Party_(UK)
Jasper_County,_Missouri	isLocatedIn	Missouri
Joseph_Kamwendo	playsFor	Mighty_Wanderers_F.C.
Jordan	participatedIn	Shia_insurgency_in_Yemen
Chris_Turner_(footballer_born_1951)	isAffiliatedTo	Peterborough_United_F.C.
Sally_(1929_film)	isLocatedIn	United_States
Simeon_Mechev	isAffiliatedTo	PFC_Vidima-Rakovski_Sevlievo
Mary_Kornman	actedIn	Dogs_of_War_(film)
Akwasi_Oduro	isAffiliatedTo	Standard_Liège
Thabiso_Khumalo	isAffiliatedTo	Lindsey_Wilson_College
Central_Province_(Sri_Lanka)	hasCapital	Kandy
Michael_Bell_(footballer)	playsFor	Cheltenham_Town_F.C.
Lee_McCulloch	isAffiliatedTo	Rangers_F.C.
Blue_Ridge_Mountains	isLocatedIn	West_Virginia
Georgios_Sikalias	playsFor	Iraklis_Psachna_F.C.
Solomon_Enow	playsFor	Parma_F.C.
Darnell_Mee	isAffiliatedTo	Continental_Basketball_Association
Vasko_Božinovski	isAffiliatedTo	FK_Vardar
Bernie_Lilavois	isAffiliatedTo	Portland_Pythons
Barry_Murphy_(footballer_born_1985)	isAffiliatedTo	Shamrock_Rovers_F.C.
Gainesville_(Florida)	isLocatedIn	Florida
Joe_Palatsides	isAffiliatedTo	Footscray_JUST
Battle_of_Krefeld	happenedIn	North_Rhine-Westphalia
Władysław_Sikorski	hasWonPrize	Virtuti_Militari
Baltimore_Clippers	isLocatedIn	Maryland
Jonathan_Pérez_Olivero	playsFor	UD_Lanzarote
Eric_Bogosian	actedIn	King_of_the_Corner
Steffen_Haas	isAffiliatedTo	Germany_national_youth_football_team
Arnar_Førsund	wasBornIn	Oslo
Glenn_Hoddle	isAffiliatedTo	Chelsea_F.C.
Emmerson_Boyce	isAffiliatedTo	Crystal_Palace_F.C.
Raivis_Hščanovičs	hasGender	male
Igor_Kovalevich	playsFor	FC_Belshina_Bobruisk
Wayne_Foster	isAffiliatedTo	Livingston_F.C.
Robert_Hite	isAffiliatedTo	Galatasaray_S.K._(men's_basketball)
Stephan_Jenkins	hasMusicalRole	wordnet_percussion_100545059
Mustapha_Khaznadar	isPoliticianOf	Tunisia
Sammy_Cahn	wroteMusicFor	Texas_Across_the_River
Operation_Mountain_Fury	isLocatedIn	Logar_Province
Elisabeth_Christine_of_Brunswick-Wolfenbüttel	wasBornIn	Brunswick_(Germany)
Leon_Vlemmings	isAffiliatedTo	FC_Eindhoven
Bobby_Campbell_(Scottish_footballer)	isAffiliatedTo	Chelsea_F.C.
Wallace_McCain	livesIn	Ontario
Kota_Mizunuma	isAffiliatedTo	Sagan_Tosu
Aleksandr_Tatarkin	playsFor	FC_Lokomotiv_Moscow
Norayr_Sahakyan	isAffiliatedTo	Ulisses_FC
Terrence_McNally	wasBornIn	St._Petersburg,_Florida
Carlos_Salguero	playsFor	Boca_Juniors
Thomas_Jefferson	hasGender	male
Florian_Siwicki	hasWonPrize	Order_of_the_Cross_of_Grunwald
Derek_Spalding	playsFor	Toronto_Blizzard_(1971–84)
Kenny_Cutler	playsFor	Richmond_Kickers
Adam_Newton	isAffiliatedTo	Notts_County_F.C.
Brent_Rahim	playsFor	West_Ham_United_F.C.
Níver_Arboleda	hasGender	male
Peter_Nover	playsFor	Club_Atlas
Benedict_Vilakazi_(soccer)	wasBornIn	Soweto
Enrico_Gaede	playsFor	Borussia_Mönchengladbach
Wojciech_Krauze	isAffiliatedTo	Thyella_Patras_F.C.
David_McLean_(footballer_born_1887)	wasBornIn	Forfar
Adalton_Luis_Juvenal	isAffiliatedTo	FC_Thun
Habib_Bourguiba	isAffiliatedTo	Neo_Destour
Frank_Nugent	created	Two_Rode_Together
Aykut_Kocaman	playsFor	Sakaryaspor
Pompoï_Department	isLocatedIn	Balé_Province
Vladislav_Romanov	isAffiliatedTo	PFC_Slavia_Sofia
Victor_H._Krulak	hasWonPrize	Purple_Heart
Juan_Gonzalo_Lorca	isAffiliatedTo	C.S.D._Rangers
Rezső_Somlai	isAffiliatedTo	Olympique_Alès
Chérif_Abdeslam	playsFor	USM_Annaba
Sammy_Chapman	hasGender	male
Tamir_Kahlon	isAffiliatedTo	Hapoel_Ironi_Acre_F.C.
Hamed_Rasouli	playsFor	Sepahan_Novin_F.C.
Kainuu	isLocatedIn	Finland
Ian_Snodin	playsFor	Everton_F.C.
Arnold_Oosterveer	hasGender	male
Belfort	isLocatedIn	France
Pat_Walker	playsFor	Bohemian_F.C.
Kevin_Fotheringham	playsFor	St._Johnstone_F.C.
Hanau	participatedIn	Battle_of_Bennington
Lionel_Trilling	graduatedFrom	Columbia_University
Josep_Gómes	hasGender	male
Maurice_Anthony_Biot	hasWonPrize	Timoshenko_Medal
Fernando_Muñoz	isAffiliatedTo	Spain_national_football_team
Susan_Blakely	wasBornIn	Frankfurt
Viktor_Bopp	wasBornIn	Kiev
Wilhelm_Röntgen	hasAcademicAdvisor	August_Kundt
Fritz_Machlup	graduatedFrom	University_of_Vienna
Viktor_Panchenko	isAffiliatedTo	SK_Tallinna_Sport
Richard_Rado	diedIn	Reading_(England)
George_Froeschel	created	Scaramouche_(1952_film)
Michał_Pazdan	isAffiliatedTo	Poland_national_football_team
Ann_Arbor	isLocatedIn	Washtenaw_County,_Michigan
Marco_Rizi	playsFor	Houston_Hotshots
Karl_Ready	playsFor	Crawley_Town_F.C.
Lukáš_Štetina	playsFor	Slovakia_national_under-21_football_team
Richard_E._Byrd	hasWonPrize	Congressional_Gold_Medal
Gary_Strodder	hasGender	male
Angelo_Niculescu	hasGender	male
Carl_Jung	influences	Alan_Watts
Charles_Lyell	diedIn	London
Klaus_Berge	isAffiliatedTo	Schwarz-Weiß_Essen
Maitland,_Florida	isLocatedIn	Florida
Yanis_Papassarantis	playsFor	Royale_Union_Saint-Gilloise
Gmina_Skarżysko_Kościelne	isLocatedIn	Świętokrzyskie_Voivodeship
Giovanni_Trapattoni	isAffiliatedTo	F.C._Red_Bull_Salzburg
Bruce_Lee	diedIn	Hong_Kong
Ian_Gore	playsFor	Birmingham_City_F.C.
Frank_Messervy	playsFor	Qatar_SC
Junior_Ross	wasBornIn	Callao
Ryan_Robinson	isAffiliatedTo	Southend_United_F.C.
Tayfun_Türkmen	isAffiliatedTo	Kayseri_Erciyesspor
Ilie_Balaci	isAffiliatedTo	Al_Ahli_Club_(Dubai)
Vladimir_Agapov_(footballer_born_1933)	isAffiliatedTo	FC_Spartak_Moscow
Kay_Friedmann	isAffiliatedTo	1._FC_Nürnberg
Tony_English	isAffiliatedTo	Halstead_Town_F.C.
Gavin_Swankie	isAffiliatedTo	Forfar_Athletic_F.C.
Klayton	wasBornIn	New_York_City
Panagiotis_Katsiaros	playsFor	Panionios_G.S.S.
Peter_Kam	wroteMusicFor	Bio_Zombie
Leroy_DeLeon	isAffiliatedTo	Detroit_Lightning
John_Maxwell_(British_Army_officer)	hasWonPrize	Royal_Victorian_Order
Richard_Jackson_(footballer_born_1980)	isAffiliatedTo	Scarborough_F.C.
Ned_Liddell	isAffiliatedTo	Southend_United_F.C.
Hugo_Lloris	playsFor	France_national_under-20_football_team
Moussa_Gueye	playsFor	R.A.E.C._Mons
Erton_Fejzullahu	wasBornIn	Pristina
John_O'Shea	hasGender	male
Aleksandr_Minayev_(footballer_born_1954)	playsFor	FC_Spartak_Moscow
Neil_Aspin	isAffiliatedTo	Harrogate_Town_F.C.
Bernd_Förster	playsFor	SV_Waldhof_Mannheim
Dharmendra	actedIn	Haqeeqat
Ron_Geesin	hasGender	male
Krzysztof_Nowak	isAffiliatedTo	VfL_Wolfsburg
Karl_Barth	wasBornIn	Basel
Joel_Schumacher	directed	Falling_Down
Petros_Filaniotis	isAffiliatedTo	Ethnikos_Achna_FC
Joseph_Stefan	worksAt	University_of_Vienna
Michael_Brown_(footballer,_born_1977)	playsFor	Tottenham_Hotspur_F.C.
Aristotle	influences	Jacques_Rancière
Rafael_Amaya_(soccer)	isAffiliatedTo	St._Louis_Ambush_(NPSL)
Rouyn-Noranda	hasWebsite	http://www.ville.
Nathan_Lowndes	isAffiliatedTo	St._Johnstone_F.C.
Adam_van_Dommele	isAffiliatedTo	Hartlepool_United_F.C.
Dimps	created	Crash_Bandicoot
Jim_McLean	isAffiliatedTo	Hamilton_Academical_F.C.
Patrick_Falk	isAffiliatedTo	Eintracht_Frankfurt
John_Hurt	actedIn	Contact_(1997_US_film)
Don_Was	hasMusicalRole	wordnet_bass_guitar_102804123
Nematullo_Quttiboev	isAffiliatedTo	Pakhtakor_Tashkent_FK
Ronald_Davidson	created	The_Masked_Marvel
El_Paso,_Texas	isLocatedIn	Hudspeth_County,_Texas
Motörhead	hasWonPrize	Grammy_Award
Kamil_Kopúnek	wasBornIn	Trnava
Alghero	isLocatedIn	Sardinia
Siphiwe_Mkhonza	playsFor	Lamontville_Golden_Arrows_F.C.
Alex_Auld	wasBornIn	Thunder_Bay
Zeb-un-Nisa	playsFor	Jordan_national_football_team
Imre_Deme	isAffiliatedTo	Hungary_national_under-21_football_team
Kevin_Brock_(footballer)	isAffiliatedTo	England_national_under-21_football_team
Whitman_College	isLocatedIn	Washington_(state)
Ahmed_Ouattara_(footballer)	isAffiliatedTo	Al_Shabab_Al_Arabi_Club
Charles_Pittman_(basketball)	isAffiliatedTo	LNB_Pro_A
Jyotiraditya_Madhavrao_Scindia	wasBornIn	Mumbai
Brian_Chase_(basketball)	isAffiliatedTo	Beşiktaş_men's_basketball_team
Bełchatów_County	isLocatedIn	Łódź_Voivodeship
Lyle_Odelein	isAffiliatedTo	Moose_Jaw_Warriors
British_Virgin_Islands	dealsWith	Puerto_Rico
Mike_Burns_(soccer)	wasBornIn	Marlborough,_Massachusetts
Alf_Ramsey	isAffiliatedTo	Ipswich_Town_F.C.
Cássio_Ramos	playsFor	PSV_Eindhoven
Ruaidhrí_Higgins	playsFor	Northern_Ireland_national_under-21_football_team
Dragoljub_Simonović	isAffiliatedTo	OFC_Sliven_2000
Mike_Krushelnyski	isAffiliatedTo	Detroit_Red_Wings
Ben_Moody	hasMusicalRole	wordnet_guitar_103467517
Géza_Kertész	isAffiliatedTo	Carrarese_Calcio
Payette,_Idaho	isLocatedIn	Idaho
Electorate_of_Cologne	isLocatedIn	Central_Europe
Vítor_Murta	playsFor	SC_Vila_Real
Cacau	playsFor	VfB_Stuttgart
Emile_Berliner	isCitizenOf	Germany
KK_Vojvodina_Srbijagas	isLocatedIn	Novi_Sad
Cho_Jin-ho_(footballer)	isAffiliatedTo	South_Korea_national_football_team
Tommy_Jones_(footballer_born_1907)	isAffiliatedTo	Accrington_Stanley_F.C.
Ship_of_Fools_(film)	isLocatedIn	United_States
Sam_Raimi	directed	The_Evil_Dead_(franchise)
Bernard_Herrmann	wroteMusicFor	Histoire(s)_du_cinéma
Ray_Barrett	hasGender	male
Ben_Hankinson	isAffiliatedTo	University_of_Minnesota
Hørsholm_Municipality	isLocatedIn	Capital_Region_of_Denmark
Antonín_Fivébr	isAffiliatedTo	MFK_Košice
James_Thomas_(footballer)	playsFor	Blackpool_F.C.
Dmitri_Zinovich	isAffiliatedTo	FC_Zenit_Penza
Francesco_De_Francesco	playsFor	Cosenza_Calcio
Irakli_Zoidze	hasGender	male
Jewish_Autonomous_Oblast	isLocatedIn	Far_Eastern_Federal_District
Pollen_Ndlanya	playsFor	AmaZulu_F.C.
Goran_Simov	playsFor	FK_Obilić
Hugh_Robertson_(footballer_born_1975)	hasGender	male
Ferdinand,_Duke_of_Parma	hasChild	Louis,_King_of_Etruria
Walter_Huston	wasBornIn	Toronto
Ricardo_Mauricio_Martínez	isAffiliatedTo	C.F._Monterrey
Park_Ju-sung	playsFor	Gyeongnam_FC
Margaret_III,_Countess_of_Flanders	hasChild	Anthony,_Duke_of_Brabant
Boris_Johnson	isLeaderOf	Transport_for_London
Vítor_Vinha	isAffiliatedTo	Associação_Académica_de_Coimbra_–_O.A.F.
Antonio_López_Habas	playsFor	Burgos_CF_(I)
Ulrich_Le_Pen	isAffiliatedTo	Ipswich_Town_F.C.
Hideaki_Ozawa	isAffiliatedTo	Yokohama_F._Marinos
Eduard_Suess	hasWonPrize	Wollaston_Medal
Bradley_Walsh	hasGender	male
Ángel_Médici	isAffiliatedTo	Argentina_national_football_team
Ricardo_Iribarren	isAffiliatedTo	Columbus_Crew
Trevor_Jones_(composer)	wroteMusicFor	I'll_Be_There_(2003_film)
Charles_Coburn	actedIn	Wilson_(film)
Oleksandr_Palyanytsya	isAffiliatedTo	FC_Spartak_Sumy
Reading,_Massachusetts	isLocatedIn	Massachusetts
Andy_Roxburgh	isAffiliatedTo	Falkirk_F.C.
John_II,_Duke_of_Saxe-Weimar	wasBornIn	Weimar
Darjuš_Lavrinovič	isAffiliatedTo	BC_Dynamo_Moscow
Arkhangelsk_Oblast	isLocatedIn	Northwestern_Federal_District
Mike_Salmon	playsFor	Oxford_United_F.C.
Jonathan_Greening	hasGender	male
Yves_Leterme	graduatedFrom	Katholieke_Universiteit_Leuven
Serhiy_Lyulka	playsFor	Ukraine_national_under-19_football_team
Joe_Roulson	isAffiliatedTo	Leyton_Orient_F.C.
Ken_Johnson_(basketball)	isAffiliatedTo	Skyliners_Frankfurt
Thomas_Sørum	hasGender	male
Tada_Keelalay	isAffiliatedTo	Singhtarua_F.C.
Tom_Bayley	isAffiliatedTo	Gainsborough_Trinity_F.C.
Matthew_Gill	playsFor	Norwich_City_F.C.
Davide_Pinato	isAffiliatedTo	A.C._Monza_Brianza_1912
Mithun_Chowdhury_Mithun	playsFor	Muktijoddha_Sangsad_KS
Jorge_López_Caballero	isAffiliatedTo	Deportivo_Cali
Gmina_Klimontów	isLocatedIn	Świętokrzyskie_Voivodeship
Giles_Barnes	playsFor	Derby_County_F.C.
Alex_Nimo	isAffiliatedTo	United_States_men's_national_under-17_soccer_team
Magnus_Eriksson_(footballer_born_1990)	playsFor	K.A.A._Gent
Billy_Mercer_(footballer_born_1969)	playsFor	Chesterfield_F.C.
Devin_Townsend	hasMusicalRole	wordnet_banjo_102787622
Klaus_Salmutter	isAffiliatedTo	L.A.S.K._Linz
Georgi_Georgiev_(footballer_born_1988)	playsFor	FC_Tiraspol
The_Peel_Group	owns	Durham_Tees_Valley_Airport
Issam_Fayel_Al-Sinani	isAffiliatedTo	Al-Nasr_SC_(Kuwait)
Mokete_Tsotetsi	isAffiliatedTo	Kaizer_Chiefs_F.C.
Murder_of_Michael_Causer	playsFor	F.C._Paços_de_Ferreira
Paulius_Grybauskas	isAffiliatedTo	Lithuania_national_football_team
Frankie_J	wasBornIn	Tijuana
Néstor_Kirchner	graduatedFrom	National_University_of_La_Plata
Levon_Hayrapetyan	isAffiliatedTo	Armenia_national_football_team
Diktmar_Hernández	playsFor	C.D._Motagua
Uwe_Grauer	playsFor	Borussia_Dortmund
Davide_Moscardelli	isAffiliatedTo	A.C._Cesena
Teruyoshi_Ito	playsFor	Ventforet_Kofu
Rob_Minkoff	directed	Stuart_Little_2
John_Carpenter	directed	Body_Bags_(film)
Ourense	isLocatedIn	Spain
Abdoul_Karim_Sylla	isAffiliatedTo	ASEC_Mimosas
Leland_H._Hartwell	graduatedFrom	California_Institute_of_Technology
Mark_Beeney	hasGender	male
Patty_Mills	isAffiliatedTo	Xinjiang_Flying_Tigers
Melanie_Mayron	actedIn	Itty_Bitty_Titty_Committee
Bruno_Bianchi_(footballer)	isAffiliatedTo	Douglas_Haig,_1st_Earl_Haig
David_Vržogić	isAffiliatedTo	de/Deutsche_Fußballnationalmannschaft_(U-17-Junioren)
Josué_Castillejos	isAffiliatedTo	Chiapas_F.C.
Madjid_Bouabdellah	playsFor	Pau_FC
Matt_Thompson_(footballer)	isAffiliatedTo	Newcastle_United_Jets_F.C.
Şükrü_Ersoy	isAffiliatedTo	Altay_S.K.
Lone_Star_(1996_film)	isLocatedIn	United_States
Lee_Todd_(footballer)	isAffiliatedTo	Stalybridge_Celtic_F.C.
Nima_Ghavidel	playsFor	Saipa_F.C.
Michael_van_der_Heijden	wasBornIn	The_Hague
Jack_Nicholson	created	Head_(film)
Rickie_Lambert	playsFor	Blackpool_F.C.
Roy_Ellam	isAffiliatedTo	Mossley_A.F.C.
Adrián_Colunga	playsFor	Sporting_de_Gijón_B
Tiago_Mendes	isAffiliatedTo	S.C._Braga
Fernando_Trueba	directed	Two_Much
Patrick_Mayo	playsFor	Bay_United_F.C.
Nelson_Sale_Kilifa	playsFor	Koloale_F.C.
John_Lithgow	actedIn	Cliffhanger_(film)
Rubén_Toribio_Díaz	hasGender	male
Ilias_Haddad	isAffiliatedTo	SC_Telstar
Milo_Đukanović	graduatedFrom	University_of_Montenegro
Gökhan_Kaba	isAffiliatedTo	Şanlıurfaspor
Samuel_Holmén	playsFor	İstanbul_Başakşehir_F.K.
Patrice_Zéré	playsFor	K.S.C._Lokeren_Oost-Vlaanderen
Robbie_Middleby	isAffiliatedTo	Adamstown_Rosebud_FC
Gmina_Lubartów	isLocatedIn	Lublin_Voivodeship
Michael_Cutajar	hasGender	male
Bryan_Griffiths	playsFor	Wigan_Athletic_F.C.
Dominik_Rohracker	isAffiliatedTo	SV_Sandhausen
Dan_Castellaneta	actedIn	The_Return_of_Jafar
Lee_Sinnott	isAffiliatedTo	Walsall_F.C.
Stephen_Chow	wasBornIn	Hong_Kong
Ricardo_Campos	playsFor	Caldas_Sport_Clube
Kenny_Dalglish	hasGender	male
Blanche_Sweet	diedIn	New_York_City
Gerardo_Seoane	isAffiliatedTo	AC_Bellinzona
Ward_Bond	actedIn	Young_Mr._Lincoln
Marc_Wilson_(Irish_footballer)	playsFor	A.F.C._Bournemouth
Charles_II,_Margrave_of_Baden-Durlach	hasGender	male
Windsor_Noncent	isAffiliatedTo	CSO_Amnéville
Bernd_Nehrig	playsFor	FC_St._Pauli
Francisco_Yeste	wasBornIn	Bilbao
Keisuke_Honda	playsFor	Gamba_Osaka
Varkala	isLocatedIn	Thiruvananthapuram
Refaat_Al-Gammal	playsFor	Great_Mariners
Muddy_Waters	influences	Redd_Foxx
Han_Jae-woong	playsFor	Buriram_United_F.C.
Dorin_Goga	playsFor	FC_Politehnica_Timișoara
Jürgen_Säumel	playsFor	FC_Wacker_Innsbruck_(2002)
Montréal–Pierre_Elliott_Trudeau_International_Airport	isConnectedTo	Fredericton_International_Airport
Dejan_Raičković	playsFor	FK_Sarajevo
William_H._Macy	actedIn	Murder_in_the_First_(film)
Michael_Ohnesorge	playsFor	TV_Jahn_Hiesfeld
Edmonton_Eskimos	isLocatedIn	Edmonton
Angelo_Bollano	playsFor	U.C._Sampdoria
Martin_Canning	playsFor	Hibernian_F.C.
Coconut_Island_Airport	isLocatedIn	Queensland
Pepín_(footballer_born_1931)	playsFor	UD_Alzira
Tasos_Mitropoulos	wasBornIn	Volos
Ed_Jew	graduatedFrom	Golden_Gate_University
Fraser_McLachlan	playsFor	Morecambe_F.C.
Jean_Carlo_Witte	isAffiliatedTo	F.C._Tokyo
Jiří_Hanke	playsFor	CD_Condal
Yanis_Papassarantis	isAffiliatedTo	K.V.K._Tienen
Samir_Šarić	isAffiliatedTo	Løv-Ham_Fotball
Daniel_Veyt	isAffiliatedTo	K.A.A._Gent
Niklaus_Wirth	hasWonPrize	Turing_Award
Joe_Mihaljevic	isAffiliatedTo	Fort_Wayne_Flames
Marcus_Berg	isAffiliatedTo	Panathinaikos_F.C.
Francis_Crick	hasWonPrize	Albert_Lasker_Award_for_Basic_Medical_Research
Robert_Pozen	graduatedFrom	Yale_Law_School
Ruslan_Pimenov	isAffiliatedTo	Russia_national_football_team
Ernest_Dubac	isAffiliatedTo	Croatia_national_football_team
Yiasoumis_Yiasoumi	playsFor	AEK_Larnaca_F.C.
Strängnäs_Municipality	isLocatedIn	Södermanland
Adrie_van_Kraay	isAffiliatedTo	Netherlands_national_football_team
Alessandro_Birindelli	isAffiliatedTo	Zambia_national_football_team
Alejandro_Faurlín	isAffiliatedTo	U.S._Città_di_Palermo
Hossein_Sadaghiani	isAffiliatedTo	R._Charleroi_S.C.
Sacramento_River	isLocatedIn	Sacramento_County,_California
Madea_Goes_to_Jail	isLocatedIn	United_States
Jerry_Goldsmith	created	The_Edge_(1997_film)
Sito_Riera	isAffiliatedTo	FC_Barcelona_B
David_Luiz	wasBornIn	Diadema,_São_Paulo
Jaime_Carbonell	wasBornIn	Montevideo
Paweł_Sobolewski	playsFor	Jagiellonia_Białystok
Shanice_van_de_Sanden	hasGender	female
Adolfo_Ríos	isAffiliatedTo	Club_América
Tony_James_(footballer_born_1978)	playsFor	Hereford_United_F.C.
Río_Negro_Province	isLocatedIn	Argentina
Ryan_Taylor_(footballer,_born_1984)	isAffiliatedTo	Tranmere_Rovers_F.C.
Milena_Dravić	wasBornIn	Belgrade
Park_Ju-sung	playsFor	Suwon_Samsung_Bluewings
Jiří_Homola	playsFor	Malatyaspor
Bernie_James	playsFor	Seattle_Storm_(soccer)
